,الجنسية,الجنس,المنطقة التعليمية ,حكومي/خاص,المدرسة ,النسبة
0,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.95
1,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,73.54
2,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.03
3,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,69.57
4,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.82
5,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.2
6,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.46
7,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,80.06
8,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.9
9,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,69.56
10,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,78.41
11,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,83.45
12,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.2
13,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,65.54
14,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.34
15,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,65.6
16,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,80.73
17,يمني,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.27
18,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,88.2
19,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.08
20,يمني,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,83.36
21,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,70.87
22,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,76.78
23,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,90.89
24,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,78.98
25,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.66
26,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,77.59
27,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,66.0
28,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,83.22
29,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,68.69
30,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,80.43
31,غير محدد الجنسية,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.43
32,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,73.1
33,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.78
