,الجنسية,الجنس,المنطقة التعليمية ,حكومي/خاص,المدرسة ,النسبة
0,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.77
1,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,71.05
2,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,70.82
3,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,94.29
4,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,77.45
5,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.5
6,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,77.27
7,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,97.87
8,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,94.89
9,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,78.32
10,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,73.08
11,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,89.75
12,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,93.99
13,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,93.51
14,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,88.8
15,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.94
16,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,78.4
17,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.81
18,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.24
19,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,73.83
20,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,62.68
21,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.35
22,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,80.18
23,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,93.73
24,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.61
25,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,83.69
26,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.41
27,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,79.46
28,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,86.19
29,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.94
30,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,89.15
31,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.36
32,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,76.22
