,الجنسية,الجنس,المنطقة التعليمية,حكومي/خاص,المدرسة,النسبة
0,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,76.07
1,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.64
2,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,65.24
4,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.95
6,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,73.85
7,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,69.36
8,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.63
9,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,68.02
10,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,78.36
11,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,82.08
12,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,63.16
13,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,65.53
14,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,73.24
16,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,80.29
17,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,70.46
18,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,78.05
19,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,88.63
20,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,77.8
21,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.66
22,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,66.5
23,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,63.11
24,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.83
25,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,70.95
26,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.9
28,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,78.6
29,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,76.22
30,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.2
32,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,82.61
34,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,77.56
35,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,71.16
36,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,71.87
37,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.69
38,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,86.75
39,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,60.63
41,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,81.67
42,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,81.89
43,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,72.1
44,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,79.77
45,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,73.23
46,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,67.14
48,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,79.24
49,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,83.03
50,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,85.58
51,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,66.6
52,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,73.96
53,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,86.58
54,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,74.59
57,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,71.49
58,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,80.64
59,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,80.86
60,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,80.66
61,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,83.15
62,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,86.31
63,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,72.72
64,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,77.8
65,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,85.22
66,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,85.06
67,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,78.74
68,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,69.35
69,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,75.95
70,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,76.07
71,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,78.69
72,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,78.0
73,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,75.24
74,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,82.76
75,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,72.72
76,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,79.05
77,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,82.39
79,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,78.17
80,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,79.15
81,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,72.04
82,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,65.35
83,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,74.51
