,الجنسية,الجنس,المنطقة التعليمية,حكومي/خاص,المدرسة,النسبة
0,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,76.44
1,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,91.18
2,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.74
3,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,90.12
4,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,95.61
5,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,91.45
6,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,88.4
7,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,96.11
8,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,70.37
9,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.28
10,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.53
11,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,72.18
12,مصري,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,91.04
13,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,86.32
14,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,86.85
15,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,80.74
16,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,93.99
17,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.02
18,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.83
19,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,95.81
20,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,93.11
21,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,81.65
22,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,80.46
23,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,89.03
24,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.97
25,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,90.52
26,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,79.1
27,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,95.92
28,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,97.41
29,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,89.82
30,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.02
31,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,65.9
32,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,94.58
33,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,91.03
34,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,90.7
35,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,90.98
36,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,77.05
37,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,95.79
38,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,92.69
39,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,79.49
40,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,95.23
41,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.07
42,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,71.72
43,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,92.43
44,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,73.25
45,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,83.41
46,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.48
47,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,77.98
48,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.78
49,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,94.12
50,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.07
51,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,93.79
52,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,79.33
53,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,91.09
54,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,78.45
55,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.96
56,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.25
57,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,83.35
58,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,89.4
59,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,73.18
60,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,76.05
61,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,88.47
62,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,88.94
63,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,84.7
64,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,73.58
65,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,71.51
66,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,90.16
67,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,96.77
68,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,69.62
69,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,90.27
70,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,86.11
71,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,93.27
72,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,78.1
73,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,78.75
74,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,80.18
75,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,91.34
76,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,92.76
77,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,91.19
78,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,76.28
79,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,73.2
80,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,72.92
81,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,84.03
82,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,83.25
83,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,84.25
84,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,79.82
85,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,76.81
86,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,72.86
87,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,72.25
88,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,92.94
89,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,94.04
90,سعودي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,81.97
91,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,73.26
92,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,94.43
93,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,90.63
94,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,75.75
95,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,77.42
96,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,75.54
97,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,74.73
98,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,94.79
99,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,79.16
100,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,91.22
101,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,81.18
102,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,94.76
103,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,78.69
104,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,96.04
105,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,84.5
106,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,95.94
107,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,81.96
108,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,88.47
109,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,84.57
110,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,77.11
111,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,80.33
112,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,84.31
113,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,90.49
114,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,86.68
115,بحريني,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,84.97
116,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,91.82
117,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,73.84
118,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,95.89
119,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,88.16
120,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,90.66
121,سوري,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,90.72
122,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,67.32
123,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,65.11
124,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,76.05
125,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,78.74
126,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,92.43
127,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,98.27
128,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,74.43
129,مصري,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,96.16
130,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,90.8
131,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,96.7
132,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,87.64
133,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,80.56
134,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,76.9
135,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,73.82
136,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,81.51
137,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,88.82
138,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,79.71
139,قطري,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,88.02
140,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,95.67
141,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,95.89
142,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,82.69
143,كويتي,بنين,العاصمة,حكــومى,عبدالله العتيبي الثانوية  للبنين,81.07
144,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,88.22
145,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,78.82
146,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,71.0
147,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,93.33
148,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,79.19
149,مصري,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,79.7
150,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,86.3
151,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,81.68
152,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,70.4
153,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,78.0
154,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,89.06
155,كويتي,بنين,العاصمة,حكــومى,عيسى أحمد الحمد الثانوية للبنين,85.8
