,الجنسية,الجنس,المنطقة,حكومي/خاص,المدرسة,النسبة
0,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,74.78
1,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,65.84
2,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,62.69
3,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,73.46
4,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,88.39
5,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,68.49
6,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,72.26
7,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,73.38
8,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,77.13
9,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,66.97
10,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,70.73
11,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,75.24
12,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,76.54
13,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,70.75
14,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,65.22
15,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,73.75
16,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,67.39
17,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,74.8
18,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,74.84
19,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,77.99
20,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,76.29
21,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,75.04
22,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,68.19
23,اردني,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,81.65
24,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,63.98
25,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,66.08
26,سوري,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,85.95
27,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,64.1
28,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,74.38
29,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,79.93
30,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,72.14
31,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,66.09
32,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,65.93
33,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,77.28
34,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,69.65
35,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,63.87
36,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,77.33
37,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,72.08
38,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,76.97
39,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,76.9
40,كويتي,بنين,مبارك الكبير,حكــومى,سليمان العدساني الثانوية للبنين,68.05
41,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,78.44
42,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,82.67
43,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,66.18
44,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,78.57
45,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,78.04
46,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,80.87
47,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,76.77
48,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,80.26
49,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,60.36
50,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,61.56
51,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,71.86
52,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,75.72
53,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,72.82
54,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,81.13
55,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,63.04
56,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,73.33
57,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,78.91
58,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,78.83
59,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,73.01
60,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,65.12
61,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,74.08
62,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,73.24
63,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,66.6
64,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,67.47
65,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,72.7
66,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,80.68
67,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,77.38
68,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,65.28
69,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,78.98
70,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,70.63
71,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,93.56
72,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,64.41
73,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,70.54
74,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,70.67
75,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,72.71
76,كويتي,بنين,مبارك الكبير,حكــومى,دعيج السلمان الصباح الثانوية للبنين,68.69
