,الجنسية,الجنس,المنطقة,حكومي/خاص,المدرسة,النسبة
0,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,66.29
1,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,93.92
2,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,80.09
3,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.89
4,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,86.68
5,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,94.06
6,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,73.95
7,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.4
8,يمني,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,91.76
9,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,86.9
10,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.62
11,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.48
12,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,86.5
13,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,83.21
14,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,74.35
15,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,67.75
16,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,68.58
17,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,68.74
18,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,76.82
19,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,84.91
20,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,82.64
21,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,77.3
22,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,94.14
23,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,79.07
24,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,71.73
25,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,91.98
26,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,75.21
27,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,77.88
28,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,85.22
29,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,82.67
30,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,80.89
31,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,79.28
32,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,94.62
33,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,68.08
34,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,82.85
35,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,64.61
36,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.57
37,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,76.94
38,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,87.44
39,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,86.83
40,كويتي,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,69.32
41,مصري,بنين,العاصمة,حكــومى,يوسف بن عيسى الثانوية للبنين,99.85
